,创建者,简述,收藏数,转发数,评论数,标签,图片地址
10,AirRadio空气赫兹,足球之夏 | 2018世界杯，请收下这份足球BGM,45851,6,1439,欧美摇滚运动,http://p1.music.126.net/v4ZqDCTXBsxH5R12y1u65Q==/109951163356471180.jpg?param=140y140
11,名侦探-柯北,我不丧，只是在心情差时碰巧多听了几首歌,96262,7,584,欧美伤感孤独,http://p1.music.126.net/NEps1vkKnEEJWaKeb_0x0g==/109951163330049735.jpg?param=140y140
12,冷山集,谁说小确丧里没有糖？,4866,9,41,欧美后摇另类/独立,http://p1.music.126.net/pu1vgSwY4zqnxvajE1iWDw==/109951163359935144.jpg?param=140y140
13,xept,励志摇滚 · 人生本是永无止境的攀登,76182,2,355,欧美流行摇滚,http://p1.music.126.net/TsTuvSHQunwAP7GgoLL9sg==/109951163322657750.jpg?param=140y140
14,瀰生,民谣丨在你笑里睡一夏天,43042,4,179,民谣华语快乐,http://p1.music.126.net/52xvBW-gpc7hyWloOMUkHQ==/19185378393676360.jpg?param=140y140
15,浮世之舟,日本邦乐史——浪曲篇,1691,9,55,日语经典怀旧,http://p1.music.126.net/nqPUUWj_0vvjhqPMqqeHvQ==/109951163339380598.jpg?param=140y140
16,情思天鹅,确认过眼神，遇见对的人,120,8,2,华语浪漫粤语,http://p1.music.126.net/jsSKbSOBu_6c_Z8WUQX5dw==/109951163371949083.jpg?param=140y140
17,pure日月,【燃情时刻】世界杯音乐集锦,88852,6,1316,兴奋经典运动,http://p1.music.126.net/yjN7xW3BUweTwBTV0nqJgA==/109951163351508004.jpg?param=140y140
18,______少女熊酱,「夏至 | 今天我也喜欢你喔 」,65700,4,1218,华语浪漫散步,http://p1.music.126.net/EiTqu9rcFbi1hfz3vQDp3g==/109951163367011159.jpg?param=140y140
19,卿公子的字,有意思！这些歌的歌名居然对着唱反调,130184,5,3387,华语流行快乐,http://p1.music.126.net/eOpBA3vOWDbijBLiBWfX7w==/18572950418611715.jpg?param=140y140
20,谐星七十六号,【空灵电音】氤氲缭绕 静谧沁人,4917,6,52,电子清新安静,http://p1.music.126.net/083U3PcUN8ZSMjjy4pQOew==/109951163352246779.jpg?param=140y140
21,黄鲲_,Pop Rap | 谁说饶舌就一定是动次打次,18318,7,70,流行说唱浪漫,http://p1.music.126.net/JfIg8Y46mhS8QSQHwDMPJw==/109951163391920180.jpg?param=140y140
22,红佩刀,岁月留声｜听一张２０世纪的老唱片,32953,5,289,华语日语怀旧,http://p1.music.126.net/gM_h6qjE0iQQAwOnkXcysQ==/109951163362013434.jpg?param=140y140
23,谐星七十六号,【万评电音】抬头，已是一片星海,41594,8,254,欧美电子舞曲,http://p1.music.126.net/M8P1hkIMBeN2JnoCqVoClQ==/109951163333239429.jpg?param=140y140
24,云音乐VIP,四六级 挂是不可能挂的,17570,5,345,欧美学习兴奋,http://p1.music.126.net/RejLGww8hZAaCDYVfR1Qqw==/109951163354692136.jpg?param=140y140
25,云音乐曲库,『高考过后怎么嗨』答案就在这里,73724,3,590,欧美电子酒吧,http://p1.music.126.net/sruYts7EmyMJIvnF-uNvLw==/109951163339854976.jpg?param=140y140
26,心有力丶而余额不足,精致Rap说唱 |以后找个人陪我来唱,4316,5,19,华语流行说唱,http://p1.music.126.net/BKBSs2UUR3z2Sj01w303Xg==/19195273998320080.jpg?param=140y140
27,Profuns工作室,星爵的磁带随身听全集(含复联3插曲),386,4,3,影视原声经典舞曲,http://p1.music.126.net/p3jMN7Qbv04o7KdKABLcmQ==/19243652509944916.jpg?param=140y140
28,Romantic丶Notes,【经典】聼一首老歌，想念一段时光,92477,1,199,华语粤语怀旧,http://p1.music.126.net/fR6GChtoT5QZao50O_BMcQ==/109951163311246502.jpg?param=140y140
29,-独守一人心-,曾经喜欢你，卑微到尘埃里,84129,9,634,华语流行伤感,http://p1.music.126.net/5Y3F566PdBR9mOiu9Fx61A==/109951163375750272.jpg?param=140y140
30,云音乐VIP,当我跑步时 我都在听什么,17455,7,116,运动兴奋快乐,http://p1.music.126.net/1xeH1EGFXLoXTBr_ufbSCw==/109951163336165440.jpg?param=140y140
31,小番茄种植员啦啦,「高质量英文歌」让你单曲循环的英文歌,12787,3,435,欧美流行放松,http://p1.music.126.net/Op-a3I7Iy-amnSlzhVcWxw==/18814842976746273.jpg?param=140y140
32,NickyRomero,爱你，身心俱疲却又难以割舍,5707,3,65,欧美伤感浪漫,http://p1.music.126.net/bTGl6IVvb2aTf8ztkurj2w==/109951163377194649.jpg?param=140y140
33,猫头罐与六便士,许嵩歌曲收录｜一代人的青春,20736,2,296,华语90后流行,http://p1.music.126.net/ybIVQ5KJE8SkZuPIQlLrvA==/19172184254128371.jpg?param=140y140
34,空虚小编,那些年，爸爸爱听的歌,51581,0,2057,流行怀旧经典,http://p1.music.126.net/RqsJE6oJsLiP1uYqecjc0w==/109951163356213216.jpg?param=140y140
0,冷山集,“一个一见到你就笑的人是有多喜欢你？”,3479,3,64,华语流行浪漫,http://p1.music.126.net/NISSxle88__NbtKBc4VjRA==/109951163364617654.jpg?param=140y140
1,鮭魚先森,寻声计划Vol.7° | 请查收说唱男声的情话,9420,2,45,华语说唱浪漫,http://p1.music.126.net/vf5fXbTkaeT_DVomsHDBPw==/109951163351479469.jpg?param=140y140
2,-独守一人心-,诗与歌的相遇，被唱出来的现代诗,27676,5,97,华语民谣流行,http://p1.music.126.net/ZVcHtWClNQ5HgJFlK3m8jQ==/109951163331134595.jpg?param=140y140
3,浪逃,现代诗与歌的浪漫邂逅,31929,9,416,华语民谣浪漫,http://p1.music.126.net/opTfWSRd3YcWsd7gh18nvQ==/109951163349882644.jpg?param=140y140
4,怪兽Sound,EDM史诗级混音，你听过几首？,66022,9,243,欧美电子舞曲,http://p1.music.126.net/JzB7nRnnXweMkcjDoGToAw==/109951163331032977.jpg?param=140y140
5,七黛月,鼓点节奏 声出即掳获双耳100％❤️,56831,6,184,电子欧美舞曲,http://p1.music.126.net/YeodNp-YatCpG1Yu0_0oMg==/19012755068115461.jpg?param=140y140
6,阿卡琳,唯美纯音｜起舞月云下 漫步花海中,14357,6,61,轻音乐治愈ACG,http://p1.music.126.net/_PmCCHU8dfM1F2XwFRQEeQ==/109951163325451685.jpg?param=140y140
7,苏箫羽,复古青年爱听酷酷的歌°,9612,2,51,欧美摇滚另类/独立,http://p1.music.126.net/gL0T_M15_6f1xyb3J7AD3w==/18572950418611970.jpg?param=140y140
8,尒闻音乐,当足球遇上音乐，当球员跨界歌坛,14553,7,397,欧美运动,http://p1.music.126.net/gQmupwt9-oYpc132uCq6LQ==/109951163353030761.jpg?param=140y140
